1 2 3
1 2 6
1 2 9
1 2 12
1 2 15
1 2 18
1 2 21
1 2 24
1 2 27
1 2 30
1 2 33
1 3 5
1 3 8
1 3 11
1 3 14
1 3 17
1 3 20
1 3 23
1 3 26
1 3 29
1 3 32
1 4 7
1 4 10
1 4 13
1 4 16
1 4 19
1 4 22
1 4 25
1 4 28
1 4 31
1 4 34
1 5 6
1 5 9
1 5 12
1 5 15
1 5 18
1 5 21
1 5 24
1 5 27
1 5 30
1 5 33
1 6 8
1 6 11
1 6 14
1 6 17
1 6 20
1 6 23
1 6 26
1 6 29
1 6 32
1 7 10
1 7 13
1 7 16
1 7 19
1 7 22
1 7 25
1 7 28
1 7 31
1 7 34
1 8 9
1 8 12
1 8 15
1 8 18
1 8 21
1 8 24
1 8 27
1 8 30
1 8 33
1 9 11
1 9 14
1 9 17
1 9 20
1 9 23
1 9 26
1 9 29
1 9 32
1 10 13
1 10 16
1 10 19
1 10 22
1 10 25
1 10 28
1 10 31
1 10 34
1 11 12
1 11 15
1 11 18
1 11 21
1 11 24
1 11 27
1 11 30
1 11 33
1 12 14
1 12 17
1 12 20
1 12 23
1 12 26
1 12 29
1 12 32
1 13 16
1 13 19
1 13 22
1 13 25
1 13 28
1 13 31
1 13 34
1 14 15
1 14 18
1 14 21
1 14 24
1 14 27
1 14 30
1 14 33
1 15 17
1 15 20
1 15 23
1 15 26
1 15 29
1 15 32
1 16 19
1 16 22
1 16 25
1 16 28
1 16 31
1 16 34
1 17 18
1 17 21
1 17 24
1 17 27
1 17 30
1 17 33
1 18 20
1 18 23
1 18 26
1 18 29
1 18 32
1 19 22
1 19 25
1 19 28
1 19 31
1 19 34
1 20 21
1 20 24
1 20 27
1 20 30
1 20 33
1 21 23
1 21 26
1 21 29
1 21 32
1 22 25
1 22 28
1 22 31
1 22 34
1 23 24
1 23 27
1 23 30
1 23 33
1 24 26
1 24 29
1 24 32
1 25 28
1 25 31
1 25 34
1 26 27
1 26 30
1 26 33
1 27 29
1 27 32
1 28 31
1 28 34
1 29 30
1 29 33
1 30 32
1 31 34
1 32 33
2 3 4
2 3 7
2 3 10
2 3 13
2 3 16
2 3 19
2 3 22
2 3 25
2 3 28
2 3 31
2 3 34
2 4 6
2 4 9
2 4 12
2 4 15
2 4 18
2 4 21
2 4 24
2 4 27
2 4 30
2 4 33
2 5 8
2 5 11
2 5 14
2 5 17
2 5 20
2 5 23
2 5 26
2 5 29
2 5 32
2 6 7
2 6 10
2 6 13
2 6 16
2 6 19
2 6 22
2 6 25
2 6 28
2 6 31
2 6 34
2 7 9
2 7 12
2 7 15
2 7 18
2 7 21
2 7 24
2 7 27
2 7 30
2 7 33
2 8 11
2 8 14
2 8 17
2 8 20
2 8 23
2 8 26
2 8 29
2 8 32
2 9 10
2 9 13
2 9 16
2 9 19
2 9 22
2 9 25
2 9 28
2 9 31
2 9 34
2 10 12
2 10 15
2 10 18
2 10 21
2 10 24
2 10 27
2 10 30
2 10 33
2 11 14
2 11 17
2 11 20
2 11 23
2 11 26
2 11 29
2 11 32
2 12 13
2 12 16
2 12 19
2 12 22
2 12 25
2 12 28
2 12 31
2 12 34
2 13 15
2 13 18
2 13 21
2 13 24
2 13 27
2 13 30
2 13 33
